team,opponent,commence_time,spread,over_under,implied_total
GB,ATL,2026-09-25T00:15:00Z,-4.67,43.17,23.92
ATL,GB,2026-09-25T00:15:00Z,4.67,43.17,19.25
BUF,LAC,2026-09-27T17:00:00Z,-7.22,50.17,28.69
LAC,BUF,2026-09-27T17:00:00Z,7.22,50.17,21.47
CLE,CAR,2026-09-27T17:00:00Z,2.44,42.11,19.83
CAR,CLE,2026-09-27T17:00:00Z,-2.44,42.11,22.28
PIT,CIN,2026-09-27T17:00:00Z,3.5,42.44,19.47
CIN,PIT,2026-09-27T17:00:00Z,-3.5,42.44,22.97
DET,NYJ,2026-09-27T17:00:00Z,-6.56,47.5,27.03
NYJ,DET,2026-09-27T17:00:00Z,6.56,47.5,20.47
IND,HOU,2026-09-27T17:00:00Z,1.5,42.56,20.53
HOU,IND,2026-09-27T17:00:00Z,-1.5,42.56,22.03
JAX,NE,2026-09-27T17:00:00Z,-2.94,45.89,24.42
NE,JAX,2026-09-27T17:00:00Z,2.94,45.89,21.47
MIA,KC,2026-09-27T17:00:00Z,10.78,45.89,17.56
KC,MIA,2026-09-27T17:00:00Z,-10.78,45.89,28.33
NYG,TEN,2026-09-27T17:00:00Z,-2.39,38.33,20.36
TEN,NYG,2026-09-27T17:00:00Z,2.39,38.33,17.97
WAS,SEA,2026-09-27T17:00:00Z,7.5,40.22,16.36
SEA,WAS,2026-09-27T17:00:00Z,-7.5,40.22,23.86
SF,ARI,2026-09-27T20:05:00Z,-8.61,47.83,28.22
ARI,SF,2026-09-27T20:05:00Z,8.61,47.83,19.61
TB,MIN,2026-09-27T20:05:00Z,1.28,42.5,20.61
MIN,TB,2026-09-27T20:05:00Z,-1.28,42.5,21.89
DAL,BAL,2026-09-27T20:25:00Z,3.33,52.5,24.58
BAL,DAL,2026-09-27T20:25:00Z,-3.33,52.5,27.92
NO,LV,2026-09-27T20:25:00Z,-3.11,43.56,23.33
LV,NO,2026-09-27T20:25:00Z,3.11,43.56,20.22
DEN,LA,2026-09-28T00:20:00Z,2.28,44.61,21.17
LA,DEN,2026-09-28T00:20:00Z,-2.28,44.61,23.44
CHI,PHI,2026-09-29T00:15:00Z,4.67,41.11,18.22
PHI,CHI,2026-09-29T00:15:00Z,-4.67,41.11,22.89
CLE,PIT,2026-10-02T00:15:00Z,2.14,37.71,17.79
PIT,CLE,2026-10-02T00:15:00Z,-2.14,37.71,19.93
WAS,IND,2026-10-04T13:30:00Z,4.36,46.14,20.89
IND,WAS,2026-10-04T13:30:00Z,-4.36,46.14,25.25
NYG,ARI,2026-10-04T17:00:00Z,-2.3,43.6,22.95
ARI,NYG,2026-10-04T17:00:00Z,2.3,43.6,20.65
BAL,TEN,2026-10-04T17:00:00Z,-10.43,44.79,27.61
TEN,BAL,2026-10-04T17:00:00Z,10.43,44.79,17.18
BUF,NE,2026-10-04T17:00:00Z,-5.5,50.0,27.75
NE,BUF,2026-10-04T17:00:00Z,5.5,50.0,22.25
CHI,NYJ,2026-10-04T17:00:00Z,-3.43,43.29,23.36
NYJ,CHI,2026-10-04T17:00:00Z,3.43,43.29,19.93
CIN,JAX,2026-10-04T17:00:00Z,-2.64,50.14,26.39
JAX,CIN,2026-10-04T17:00:00Z,2.64,50.14,23.75
HOU,DAL,2026-10-04T17:00:00Z,-2.86,47.57,25.21
DAL,HOU,2026-10-04T17:00:00Z,2.86,47.57,22.36
TB,GB,2026-10-04T17:00:00Z,1.38,45.75,22.19
GB,TB,2026-10-04T17:00:00Z,-1.38,45.75,23.56
PHI,LA,2026-10-04T17:00:00Z,2.64,46.07,21.71
LA,PHI,2026-10-04T17:00:00Z,-2.64,46.07,24.36
MIN,MIA,2026-10-04T20:05:00Z,-10.36,42.71,26.54
MIA,MIN,2026-10-04T20:05:00Z,10.36,42.71,16.18
SF,DEN,2026-10-04T20:25:00Z,-3.79,45.93,24.86
DEN,SF,2026-10-04T20:25:00Z,3.79,45.93,21.07
LV,KC,2026-10-04T20:25:00Z,5.57,45.57,20.0
KC,LV,2026-10-04T20:25:00Z,-5.57,45.57,25.57
SEA,LAC,2026-10-04T20:25:00Z,-6.57,43.21,24.89
LAC,SEA,2026-10-04T20:25:00Z,6.57,43.21,18.32
CAR,DET,2026-10-05T00:20:00Z,2.75,49.5,23.38
DET,CAR,2026-10-05T00:20:00Z,-2.75,49.5,26.12
NO,ATL,2026-10-06T00:15:00Z,-3.5,45.57,24.54
ATL,NO,2026-10-06T00:15:00Z,3.5,45.57,21.04
