team,component,pool_share,share_basis,raw_sum,target,scale,abs_delta
MIN,rush,1.0,recent,36.1,26.88,0.7446,9.22
NYJ,rush,0.9744,recent,39.35,29.46,0.7486,9.89
NO,recv,1.0,recent,51.62,39.7,0.7691,11.92
CHI,rush,1.0,recent,37.51,29.33,0.7819,8.18
NO,pass,1.0,exclusive,52.32,40.97,0.7831,11.35
HOU,rush,1.0,recent,33.94,27.45,0.8087,6.49
HOU,recv,1.0,recent,42.71,34.83,0.8156,7.88
PIT,pass,1.0,exclusive,43.33,35.53,0.8199,7.8
ATL,rush,1.0,recent,35.5,29.17,0.8215,6.34
ATL,pass,1.0,exclusive,37.0,30.5,0.8241,6.51
MIN,pass,1.0,exclusive,38.94,32.11,0.8245,6.83
GB,recv,1.0,recent,42.92,35.54,0.8281,7.38
NO,rush,1.0,recent,29.02,24.04,0.8285,4.97
NE,rush,1.0,recent,35.55,29.57,0.8316,5.99
PIT,recv,1.0,recent,40.72,33.86,0.8316,6.86
BAL,rush,1.0,recent,37.49,31.26,0.8338,6.23
HOU,pass,1.0,exclusive,42.56,35.65,0.8376,6.91
GB,pass,1.0,exclusive,43.33,36.52,0.8429,6.81
CIN,pass,1.0,exclusive,40.72,34.79,0.8543,5.93
TEN,pass,1.0,exclusive,37.61,32.41,0.8618,5.2
CLE,pass,1.0,exclusive,34.63,30.01,0.8666,4.62
TEN,recv,1.0,recent,35.08,30.47,0.8686,4.61
CIN,rush,1.0,recent,29.45,25.6,0.8695,3.84
NE,recv,1.0,recent,36.52,31.95,0.8746,4.58
CAR,recv,1.0,recent,37.74,33.38,0.8847,4.35
GB,rush,1.0,full_season,27.4,24.25,0.8851,3.15
CIN,recv,1.0,recent,38.15,33.85,0.8875,4.29
CLE,rush,1.0,full_season,27.91,24.79,0.8882,3.12
NE,pass,1.0,exclusive,37.29,33.16,0.8894,4.12
TB,recv,1.0,recent,34.03,30.66,0.9008,3.38
CHI,pass,1.0,exclusive,37.17,33.53,0.9019,3.65
PIT,rush,1.0,full_season,26.95,24.35,0.9035,2.6
CAR,pass,1.0,exclusive,38.57,35.14,0.9109,3.44
PHI,pass,1.0,exclusive,33.12,30.31,0.9152,2.81
CAR,rush,1.0,full_season,27.52,25.4,0.9228,2.13
TB,pass,1.0,exclusive,34.3,31.69,0.9242,2.6
PHI,rush,1.0,recent,32.09,29.68,0.925,2.41
BAL,pass,1.0,exclusive,34.32,31.88,0.929,2.44
NYJ,pass,1.0,exclusive,33.57,31.31,0.9328,2.25
PHI,recv,1.0,full_season,30.58,28.56,0.9339,2.02
CHI,recv,1.0,recent,33.69,31.75,0.9424,1.94
MIN,recv,1.0,full_season,32.45,30.77,0.948,1.69
TEN,rush,1.0,full_season,25.01,23.92,0.9565,1.09
NYJ,recv,1.0,full_season,31.27,30.03,0.9604,1.24
CLE,recv,1.0,full_season,30.16,29.0,0.9617,1.16
BAL,recv,1.0,full_season,31.11,30.68,0.986,0.44
ATL,recv,1.0,full_season,28.91,28.52,0.9865,0.39
TB,rush,1.0,full_season,27.39,27.47,1.0031,0.08
