team,component,pool_share,share_basis,raw_sum,target,scale,abs_delta
DAL,pass,1.0,exclusive,20.87,36.53,1.7503,15.66
SEA,pass,1.0,exclusive,21.13,32.84,1.554,11.71
MIA,pass,1.0,exclusive,24.58,38.06,1.5484,13.48
SF,rush,0.5357,recent,28.61,15.13,0.5291,13.47
NYG,rush,0.5868,recent,23.89,13.49,0.5648,10.4
SEA,rush,0.7222,recent,34.3,19.81,0.5775,14.49
DET,rush,0.541,recent,22.98,13.52,0.5884,9.46
PHI,rush,0.6635,recent,27.45,17.23,0.6277,10.22
DET,pass,1.0,exclusive,57.99,36.64,0.6318,21.35
MIA,rush,0.6634,recent,23.2,14.68,0.6328,8.52
CHI,rush,0.7639,recent,32.53,20.76,0.6381,11.77
CLE,rush,0.6347,recent,28.32,18.3,0.646,10.03
HOU,rush,0.4854,recent,16.46,10.66,0.6475,5.8
PHI,pass,1.0,exclusive,55.08,35.71,0.6483,19.37
MIN,rush,0.9257,recent,39.05,25.39,0.6504,13.65
NO,rush,1.0,recent,39.63,25.99,0.6559,13.64
DEN,rush,0.9725,recent,19.12,25.16,1.3157,6.04
PIT,rush,0.9636,recent,35.17,24.7,0.7025,10.46
DAL,rush,0.8807,recent,32.97,23.44,0.7111,9.52
NO,pass,1.0,exclusive,48.44,34.67,0.7158,13.77
TB,recv,0.8318,recent,43.17,30.93,0.7164,12.24
CAR,pass,1.0,exclusive,50.95,36.54,0.7173,14.4
NYJ,rush,0.8077,recent,26.14,18.81,0.7194,7.33
LA,pass,1.0,exclusive,49.0,35.38,0.7221,13.62
NE,rush,0.8509,recent,28.9,21.24,0.7352,7.65
CLE,pass,1.0,exclusive,26.65,33.63,1.2616,6.97
SF,pass,1.0,exclusive,26.2,32.91,1.2563,6.71
IND,pass,1.0,exclusive,27.9,34.68,1.243,6.78
NYG,recv,0.7937,recent,39.61,30.05,0.7587,9.56
CHI,pass,1.0,exclusive,25.59,31.75,1.2405,6.16
PIT,recv,0.8259,recent,37.19,29.0,0.7799,8.18
MIA,recv,0.7833,recent,37.29,29.5,0.7911,7.79
TEN,rush,0.9701,recent,32.09,25.39,0.7912,6.7
KC,rush,0.6429,recent,21.19,16.97,0.8005,4.23
TEN,recv,0.75,recent,21.6,25.81,1.1948,4.21
BUF,rush,0.9156,recent,32.98,26.86,0.8146,6.12
SF,recv,0.6543,recent,25.77,21.09,0.8186,4.68
KC,recv,0.8879,recent,42.09,34.48,0.8192,7.61
MIN,recv,0.9341,recent,41.19,33.92,0.8236,7.26
DEN,recv,0.9091,recent,38.32,31.72,0.8278,6.6
ARI,rush,0.9415,recent,32.29,26.76,0.8286,5.53
ARI,pass,1.0,exclusive,30.06,35.06,1.1664,5.0
PHI,recv,0.7427,recent,30.26,25.7,0.8495,4.55
TEN,pass,1.0,exclusive,41.25,35.31,0.8562,5.93
LAC,rush,0.9455,recent,21.11,23.83,1.1291,2.72
DET,recv,0.8323,recent,33.75,29.41,0.8714,4.34
NYJ,recv,0.7674,recent,30.64,26.76,0.8735,3.88
NYG,pass,1.0,exclusive,34.5,38.69,1.1214,4.19
ATL,recv,0.6827,recent,28.39,25.0,0.8807,3.39
GB,recv,0.4936,recent,19.79,17.43,0.881,2.36
NE,pass,1.0,exclusive,32.73,36.48,1.1147,3.75
ATL,pass,1.0,exclusive,41.65,37.16,0.8921,4.49
GB,pass,1.0,exclusive,32.76,36.25,1.1066,3.49
CHI,recv,0.9292,recent,26.05,28.73,1.1033,2.69
BUF,recv,0.843,recent,32.77,29.52,0.9009,3.25
HOU,pass,1.0,exclusive,32.51,35.63,1.0959,3.12
JAX,rush,1.0,recent,28.25,25.71,0.9101,2.54
IND,rush,0.8309,recent,24.25,22.07,0.9101,2.18
LA,recv,0.9243,recent,35.33,32.28,0.9138,3.05
CAR,recv,0.8415,recent,32.94,30.14,0.9148,2.81
TB,pass,1.0,exclusive,40.86,37.58,0.9196,3.28
PIT,pass,1.0,exclusive,38.41,35.6,0.9269,2.81
CIN,rush,0.9,recent,24.34,26.08,1.0716,1.74
MIN,pass,1.0,exclusive,40.02,37.2,0.9295,2.82
ATL,rush,0.8992,recent,22.19,23.66,1.0661,1.47
NYJ,pass,1.0,exclusive,37.93,35.47,0.9351,2.46
WAS,rush,0.9851,recent,27.26,25.5,0.9354,1.76
WAS,recv,0.8844,recent,33.22,31.12,0.9366,2.11
CIN,recv,0.875,recent,27.35,29.02,1.0611,1.67
LAC,pass,1.0,exclusive,39.84,37.49,0.9411,2.35
KC,pass,1.0,exclusive,41.92,39.65,0.9458,2.27
SEA,recv,0.9091,recent,27.52,28.92,1.0511,1.41
IND,recv,0.8681,recent,28.05,29.45,1.0499,1.4
LAC,recv,0.9794,recent,37.97,36.19,0.9531,1.78
DAL,recv,0.9935,recent,34.12,35.64,1.0447,1.52
LA,rush,0.9922,recent,27.92,28.98,1.0381,1.06
WAS,pass,1.0,exclusive,36.78,35.64,0.969,1.14
NO,recv,0.7953,recent,27.68,26.82,0.9692,0.85
CAR,rush,0.9764,recent,23.91,24.53,1.0258,0.62
BUF,pass,1.0,exclusive,36.75,35.8,0.9742,0.95
CLE,recv,0.7697,recent,25.83,25.27,0.9786,0.55
NE,recv,0.9725,recent,35.67,34.9,0.9786,0.76
JAX,pass,1.0,exclusive,34.12,34.75,1.0183,0.63
TB,rush,0.9385,recent,25.84,25.4,0.9831,0.44
GB,rush,1.0,recent,23.42,23.76,1.0145,0.34
CIN,pass,1.0,exclusive,33.43,33.88,1.0135,0.45
HOU,recv,0.7931,recent,27.98,27.63,0.9874,0.35
JAX,recv,0.8875,recent,30.57,30.24,0.9892,0.33
DEN,pass,1.0,exclusive,35.32,35.57,1.0071,0.25
ARI,recv,1.0,recent,34.07,34.21,1.0042,0.14
