team,component,pool_share,share_basis,raw_sum,target,scale,abs_delta
ARI,recv,1.0,price,32.91,32.91,1.0,0.0
ATL,recv,1.0,price,31.01,31.01,1.0,0.0
BAL,recv,1.0,price,34.1,34.1,1.0,0.0
BUF,recv,1.0,price,32.29,32.29,1.0,0.0
CAR,recv,1.0,price,33.47,33.47,1.0,0.0
CHI,recv,1.0,price,33.81,33.81,1.0,0.0
CIN,recv,1.0,price,35.45,35.45,1.0,0.0
CLE,recv,1.0,price,29.84,29.84,1.0,0.0
DET,recv,1.0,price,34.93,34.93,1.0,0.0
GB,recv,1.0,price,32.5,32.5,1.0,0.0
HOU,recv,1.0,price,32.24,32.24,1.0,0.0
IND,recv,1.0,price,33.65,33.65,1.0,0.0
JAX,recv,1.0,price,30.87,30.87,1.0,0.0
LAC,recv,1.0,price,34.21,34.21,1.0,0.0
LV,recv,1.0,price,30.5,30.5,1.0,0.0
MIA,recv,1.0,price,30.05,30.05,1.0,0.0
MIN,recv,1.0,price,32.67,32.67,1.0,0.0
NO,recv,1.0,price,34.04,34.04,1.0,0.0
NYJ,recv,1.0,price,29.61,29.61,1.0,0.0
PHI,recv,1.0,price,33.43,33.43,1.0,0.0
PIT,recv,1.0,price,31.4,31.4,1.0,0.0
TB,recv,1.0,price,34.96,34.96,1.0,0.0
TEN,recv,1.0,price,29.93,29.93,1.0,0.0
WAS,recv,1.0,price,32.84,32.84,1.0,0.0
ARI,rush,1.0,price,24.59,24.59,1.0,0.0
ATL,rush,1.0,price,26.97,26.97,1.0,0.0
BAL,rush,1.0,price,26.99,26.99,1.0,0.0
BUF,rush,1.0,price,27.12,27.12,1.0,0.0
CAR,rush,1.0,price,25.96,25.96,1.0,0.0
CHI,rush,1.0,price,26.93,26.93,1.0,0.0
CIN,rush,1.0,price,26.45,26.45,1.0,0.0
CLE,rush,1.0,price,26.43,26.43,1.0,0.0
DET,rush,1.0,price,27.36,27.36,1.0,0.0
GB,rush,1.0,price,26.67,26.67,1.0,0.0
HOU,rush,1.0,price,27.0,27.0,1.0,0.0
IND,rush,1.0,price,25.69,25.69,1.0,0.0
JAX,rush,1.0,price,29.39,29.39,1.0,0.0
LAC,rush,1.0,price,28.37,28.37,1.0,0.0
LV,rush,1.0,price,28.59,28.59,1.0,0.0
MIA,rush,1.0,price,27.29,27.29,1.0,0.0
MIN,rush,1.0,price,27.16,27.16,1.0,0.0
NO,rush,1.0,price,24.77,24.77,1.0,0.0
NYJ,rush,1.0,price,27.7,27.7,1.0,0.0
PHI,rush,1.0,price,27.52,27.52,1.0,0.0
PIT,rush,1.0,price,28.08,28.08,1.0,0.0
TB,rush,1.0,price,25.04,25.04,1.0,0.0
TEN,rush,1.0,price,28.63,28.63,1.0,0.0
WAS,rush,1.0,price,25.81,25.81,1.0,0.0
ARI,pass,1.0,exclusive,34.33,34.33,1.0,0.0
ATL,pass,1.0,exclusive,32.13,32.13,1.0,0.0
BAL,pass,1.0,exclusive,35.28,35.28,1.0,0.0
BUF,pass,1.0,exclusive,33.42,33.42,1.0,0.0
CAR,pass,1.0,exclusive,34.76,34.76,1.0,0.0
CHI,pass,1.0,exclusive,34.99,34.99,1.0,0.0
CIN,pass,1.0,exclusive,36.73,36.73,1.0,0.0
CLE,pass,1.0,exclusive,30.99,30.99,1.0,0.0
DET,pass,1.0,exclusive,36.09,36.09,1.0,0.0
GB,pass,1.0,exclusive,33.68,33.68,1.0,0.0
HOU,pass,1.0,exclusive,33.38,33.38,1.0,0.0
IND,pass,1.0,exclusive,34.97,34.97,1.0,0.0
JAX,pass,1.0,exclusive,31.71,31.71,1.0,0.0
LAC,pass,1.0,exclusive,35.24,35.24,1.0,0.0
LV,pass,1.0,exclusive,31.42,31.42,1.0,0.0
MIA,pass,1.0,exclusive,31.11,31.11,1.0,0.0
MIN,pass,1.0,exclusive,33.8,33.8,1.0,0.0
NO,pass,1.0,exclusive,35.47,35.47,1.0,0.0
NYJ,pass,1.0,exclusive,30.61,30.61,1.0,0.0
PHI,pass,1.0,exclusive,34.54,34.54,1.0,0.0
PIT,pass,1.0,exclusive,32.39,32.39,1.0,0.0
TB,pass,1.0,exclusive,36.38,36.38,1.0,0.0
TEN,pass,1.0,exclusive,30.84,30.84,1.0,0.0
WAS,pass,1.0,exclusive,34.13,34.13,1.0,0.0
