lineup_id,roster_slot,player_id,player_name,position,team,roster_role,salary,projection,value,opponent,site_player_id,sigma,sigma_source
1,CPT,00-0036264,Jordan Love,QB,GB,CPT,15000,27.57022317329202,1.84,ATL,44225919,12.00525,statline_mc+recal_10_4b
1,FLEX1,00-0038542,Bijan Robinson,RB,ATL,FLEX,11800,19.44348762546531,1.65,GB,44225865,9.0858,statline_mc+recal_10_4b
1,FLEX2,00-0038124,Christian Watson,WR,GB,FLEX,9800,15.954803324626967,1.63,ATL,44225867,9.3214,statline_mc+recal_10_4b
1,FLEX3,00-0040667,Matthew Golden,WR,GB,FLEX,7800,12.83884489933927,1.65,ATL,44225874,8.4337,statline_mc+recal_10_4b
1,FLEX4,00-0025565,Nick Folk,K,ATL,FLEX,4800,8.33835,1.74,GB,44225885,4.9898,kicker_session_13_1
1,FLEX5,00-0036429,Charlie Woerner,TE,ATL,FLEX,600,1.338215697038559,2.23,GB,44225898,4.1316,statline_mc+recal_10_4b
2,CPT,00-0036264,Jordan Love,QB,GB,CPT,15000,27.57022317329202,1.84,ATL,44225919,12.00525,statline_mc+recal_10_4b
2,FLEX1,00-0038542,Bijan Robinson,RB,ATL,FLEX,11800,19.44348762546531,1.65,GB,44225865,9.0858,statline_mc+recal_10_4b
2,FLEX2,00-0038124,Christian Watson,WR,GB,FLEX,9800,15.954803324626967,1.63,ATL,44225867,9.3214,statline_mc+recal_10_4b
2,FLEX3,00-0025565,Nick Folk,K,ATL,FLEX,4800,8.33835,1.74,GB,44225885,4.9898,kicker_session_13_1
2,FLEX4,00-0040899,Trey Smack,K,GB,FLEX,5200,8.06875,1.55,ATL,44225882,4.8633,kicker_session_13_1
2,FLEX5,DST_ATL,Falcons,DST,ATL,FLEX,3400,6.038400825,1.78,GB,44225889,5.8508,dst_simulated_session_10_4+recal_10_4b
3,CPT,00-0036264,Jordan Love,QB,GB,CPT,15000,27.57022317329202,1.84,ATL,44225919,12.00525,statline_mc+recal_10_4b
3,FLEX1,00-0038542,Bijan Robinson,RB,ATL,FLEX,11800,19.44348762546531,1.65,GB,44225865,9.0858,statline_mc+recal_10_4b
3,FLEX2,00-0038124,Christian Watson,WR,GB,FLEX,9800,15.954803324626967,1.63,ATL,44225867,9.3214,statline_mc+recal_10_4b
3,FLEX3,00-0040667,Matthew Golden,WR,GB,FLEX,7800,12.83884489933927,1.65,ATL,44225874,8.4337,statline_mc+recal_10_4b
3,FLEX4,00-0025565,Nick Folk,K,ATL,FLEX,4800,8.33835,1.74,GB,44225885,4.9898,kicker_session_13_1
3,FLEX5,00-0040948,J. Michael Sturdivant,WR,GB,FLEX,800,1.0591665684945215,1.32,ATL,44225897,4.4084,statline_mc+recal_10_4b
4,CPT,00-0036264,Jordan Love,QB,GB,CPT,15000,27.57022317329202,1.84,ATL,44225919,12.00525,statline_mc+recal_10_4b
4,FLEX1,00-0038542,Bijan Robinson,RB,ATL,FLEX,11800,19.44348762546531,1.65,GB,44225865,9.0858,statline_mc+recal_10_4b
4,FLEX2,00-0038124,Christian Watson,WR,GB,FLEX,9800,15.954803324626967,1.63,ATL,44225867,9.3214,statline_mc+recal_10_4b
4,FLEX3,00-0040667,Matthew Golden,WR,GB,FLEX,7800,12.83884489933927,1.65,ATL,44225874,8.4337,statline_mc+recal_10_4b
4,FLEX4,00-0025565,Nick Folk,K,ATL,FLEX,4800,8.33835,1.74,GB,44225885,4.9898,kicker_session_13_1
4,FLEX5,00-0037317,Nick Muse,TE,ATL,FLEX,200,1.0363304830685145,5.18,GB,44225916,3.8593,statline_mc+recal_10_4b
5,CPT,00-0036264,Jordan Love,QB,GB,CPT,15000,27.57022317329202,1.84,ATL,44225919,12.00525,statline_mc+recal_10_4b
5,FLEX1,00-0038542,Bijan Robinson,RB,ATL,FLEX,11800,19.44348762546531,1.65,GB,44225865,9.0858,statline_mc+recal_10_4b
5,FLEX2,00-0038124,Christian Watson,WR,GB,FLEX,9800,15.954803324626967,1.63,ATL,44225867,9.3214,statline_mc+recal_10_4b
5,FLEX3,00-0025565,Nick Folk,K,ATL,FLEX,4800,8.33835,1.74,GB,44225885,4.9898,kicker_session_13_1
5,FLEX4,DST_GB,Packers,DST,GB,FLEX,5000,7.821808951500001,1.56,ATL,44225884,5.7503,dst_simulated_session_10_4+recal_10_4b
5,FLEX5,DST_ATL,Falcons,DST,ATL,FLEX,3400,6.038400825,1.78,GB,44225889,5.8508,dst_simulated_session_10_4+recal_10_4b
6,CPT,00-0025565,Nick Folk,K,ATL,CPT,7200,12.507525,1.74,GB,44225938,7.4847,kicker_session_13_1
6,FLEX1,00-0038542,Bijan Robinson,RB,ATL,FLEX,11800,19.44348762546531,1.65,GB,44225865,9.0858,statline_mc+recal_10_4b
6,FLEX2,00-0036264,Jordan Love,QB,GB,FLEX,10000,18.38014878219468,1.84,ATL,44225866,8.0035,statline_mc+recal_10_4b
6,FLEX3,00-0038124,Christian Watson,WR,GB,FLEX,9800,15.954803324626967,1.63,ATL,44225867,9.3214,statline_mc+recal_10_4b
6,FLEX4,00-0040667,Matthew Golden,WR,GB,FLEX,7800,12.83884489933927,1.65,ATL,44225874,8.4337,statline_mc+recal_10_4b
6,FLEX5,DST_ATL,Falcons,DST,ATL,FLEX,3400,6.038400825,1.78,GB,44225889,5.8508,dst_simulated_session_10_4+recal_10_4b
7,CPT,00-0036264,Jordan Love,QB,GB,CPT,15000,27.57022317329202,1.84,ATL,44225919,12.00525,statline_mc+recal_10_4b
7,FLEX1,00-0038542,Bijan Robinson,RB,ATL,FLEX,11800,19.44348762546531,1.65,GB,44225865,9.0858,statline_mc+recal_10_4b
7,FLEX2,00-0038124,Christian Watson,WR,GB,FLEX,9800,15.954803324626967,1.63,ATL,44225867,9.3214,statline_mc+recal_10_4b
7,FLEX3,00-0040667,Matthew Golden,WR,GB,FLEX,7800,12.83884489933927,1.65,ATL,44225874,8.4337,statline_mc+recal_10_4b
7,FLEX4,DST_GB,Packers,DST,GB,FLEX,5000,7.821808951500001,1.56,ATL,44225884,5.7503,dst_simulated_session_10_4+recal_10_4b
7,FLEX5,00-0036429,Charlie Woerner,TE,ATL,FLEX,600,1.338215697038559,2.23,GB,44225898,4.1316,statline_mc+recal_10_4b
8,CPT,00-0036264,Jordan Love,QB,GB,CPT,15000,27.57022317329202,1.84,ATL,44225919,12.00525,statline_mc+recal_10_4b
8,FLEX1,00-0038542,Bijan Robinson,RB,ATL,FLEX,11800,19.44348762546531,1.65,GB,44225865,9.0858,statline_mc+recal_10_4b
8,FLEX2,00-0038124,Christian Watson,WR,GB,FLEX,9800,15.954803324626967,1.63,ATL,44225867,9.3214,statline_mc+recal_10_4b
8,FLEX3,00-0040667,Matthew Golden,WR,GB,FLEX,7800,12.83884489933927,1.65,ATL,44225874,8.4337,statline_mc+recal_10_4b
8,FLEX4,DST_ATL,Falcons,DST,ATL,FLEX,3400,6.038400825,1.78,GB,44225889,5.8508,dst_simulated_session_10_4+recal_10_4b
8,FLEX5,00-0035208,Olamide Zaccheaus,WR,ATL,FLEX,2000,3.107588422004651,1.55,GB,44225893,5.3595,statline_mc+recal_10_4b
9,CPT,00-0040667,Matthew Golden,WR,GB,CPT,11700,19.258267349008904,1.65,ATL,44225927,12.65055,statline_mc+recal_10_4b
9,FLEX1,00-0037238,Drake London,WR,ATL,FLEX,8800,12.613953877595346,1.43,GB,44225869,8.2266,statline_mc+recal_10_4b
